Keira,Anderson,Mickey,Collie Smooth,(245) 757-1518,(468) 843-2186,(241) 275-7438,"05/11/2002		trim and bath                 		$30
05/18/2003		trim and bath                 		$33
10/25/2005		bath and nails                		$54
08/15/2007		no show                       		$32
05/16/2014		bath and nails                		$45
12/11/2014		skunk bath                    		$49
05/13/2018		bath                          		$45
05/23/2020		4 body 2 tail 5 face          		$42"
Derek,Taylor,Coco,Giant Schnauzer,(166) 208-4805,(222) 142-2347,(407) 775-8324,"04/16/2007		bath                          		$44
09/14/2007		no show                       		$43
10/27/2008		3 body 3 tail 5 face          		$29
12/22/2014		bath and nails                		$53
04/14/2016		bath and nails                		$38
08/14/2016		no show                       		$59
08/14/2017		8 body 5 tail 1 face          		$59
11/15/2017		bath and nails                		$33
12/17/2019		trim and bath                 		$59
06/16/2020		8 body 3 tail 7 face          		$31"
Krystal,Rogers,Baby,Old Croatian Sighthound,(858) 754-3541,(080) 586-0048,(161) 050-7866,"07/17/2000		bath                          		$30
08/15/2005		nails                         		$37
05/20/2008		no show                       		$46
04/21/2014		trim and bath                 		$40
09/13/2014		bath                          		$50
11/21/2014		skunk bath                    		$46
07/15/2015		trim and bath                 		$46
11/24/2015		7 body 2 tail 7 face          		$29
03/14/2017		5 body 2 tail 4 face          		$36
12/22/2020		skunk bath                    		$44"
Kristopher,Ward,Scout,English White Terrier,(216) 457-0610,(830) 768-2378,(414) 016-4867,"02/14/2000		no show                       		$54
06/11/2001		skunk bath                    		$33
02/22/2004		skunk bath                    		$55
11/14/2004		trim and bath                 		$49
02/25/2005		trim and bath                 		$42
06/19/2007		skunk bath                    		$38
02/19/2008		nails                         		$58
04/10/2009		6 body 4 tail 6 face          		$36
11/28/2014		nails                         		$36
08/27/2016		trim and bath                 		$36
08/26/2018		trim and bath                 		$53
12/13/2019		nails                         		$51
02/25/2020		trim and bath                 		$39
10/15/2020		no show                       		$47"
Coco,Thomas,Brady,Indian Spitz,(582) 788-1105,(602) 165-3805,(834) 417-7066,"12/13/2002		bath and nails                		$49
07/11/2005		bath                          		$43
08/22/2011		bath and nails                		$36
02/26/2013		skunk bath                    		$30
05/27/2015		bath                          		$34
05/16/2016		nails                         		$27
08/13/2017		bath                          		$58"
Jayden,Perez,Winnie,Pražský Krysařík,(142) 557-6677,(666) 284-1813,(133) 463-4537,"11/19/2002		skunk bath                    		$50
07/20/2003		bath                          		$27
12/20/2004		bath and nails                		$49
11/19/2005		bath                          		$56
04/23/2007		nails                         		$36
12/22/2010		6 body 3 tail 7 face          		$59
12/15/2011		bath and nails                		$42
04/10/2015		bath and nails                		$35
07/23/2018		nails                         		$41"
Kaleigh,Edwards,Kobe,Manchester Terrier,(206) 655-2700,(448) 204-2470,(686) 728-3628,"07/28/2002		7 body 4 tail 7 face          		$60
11/13/2003		trim and bath                 		$34
12/19/2006		bath                          		$40
08/15/2011		nails                         		$40
05/26/2015		bath                          		$47
02/14/2019		nails                         		$44"
Irwin,Ramirez,Harley,Portuguese Podengo,(631) 267-2743,(236) 565-1823,(838) 675-5465,"08/14/2002		nails                         		$59
10/25/2004		bath and nails                		$45
11/12/2004		2 body 5 tail 3 face          		$59
12/19/2008		trim and bath                 		$51
05/14/2010		no show                       		$28
09/28/2010		bath and nails                		$59
12/17/2013		bath                          		$39
03/18/2016		no show                       		$52
08/28/2019		4 body 1 tail 3 face          		$59
12/23/2020		bath                          		$57"
Olaf,Cooper,Mac,Samoyed,(410) 715-6556,(104) 435-4465,(868) 580-8787,"06/25/2003		bath                          		$28
03/20/2004		skunk bath                    		$57
10/23/2004		trim and bath                 		$41
10/25/2006		7 body 5 tail 0 face          		$51
05/25/2007		trim and bath                 		$25
09/25/2007		bath                          		$47
05/25/2009		no show                       		$46
11/27/2012		bath and nails                		$35
03/21/2015		skunk bath                    		$44
09/25/2018		bath                          		$47"
Ryder,Diaz,Sugar,Bluetick Coonhound,(880) 833-5656,(620) 861-6222,(758) 703-3356,"03/18/2003		trim and bath                 		$37
09/23/2003		trim and bath                 		$45
07/17/2005		skunk bath                    		$60
03/22/2006		bath                          		$27
11/19/2010		nails                         		$58
07/12/2017		skunk bath                    		$39
09/12/2020		bath                          		$53"
Irma,Campbell,Brady,Greenland Dog,(157) 480-2141,(001) 886-8403,(232) 675-7145,"10/28/2002		bath                          		$30
10/26/2006		skunk bath                    		$29
12/15/2009		nails                         		$38
06/10/2016		bath and nails                		$46
05/17/2018		nails                         		$26
08/23/2018		6 body 6 tail 8 face          		$43
10/18/2018		no show                       		$35
