Blair, Watson, Cody, Saint-Usuge Spaniel, (253) 123-1260
Kirby, Baker, Zoe, Alopekis, (063) 643-7446
Blair, Williams, Willow, Canadian Eskimo Dog, (464) 315-6825
Lindsay, Gutierrez, Zoey, Welsh Sheepdog, (304) 321-8620
Lorrie, James, Lulu, German Wirehaired Pointer, (845) 584-1155
Reginald, Ross, Frankie, Russo-European Laika, (017) 011-1263
Florian, Miller, Bonnie, Small Greek Domestic Dog, (765) 736-5461
Alya, Roberts, Toby, Grand Griffon Vendéen, (862) 747-3185
Dane, Hill, Sugar, Sealyham Terrier, (644) 063-1220
Yehudi, Ward, Grace, Tibetan Mastiff, (222) 813-7680
